Id;region;vaccine;year;coverage
3014;West & Central Africa;mcv1;1992;42
3015;West & Central Africa;pol3;1992;40
3016;West & Central Africa;rcv1;1992;0
3017;West & Central Africa;bcg;1993;57
3018;West & Central Africa;dtp1;1993;60
3019;West & Central Africa;dtp3;1993;36
3020;West & Central Africa;hepb3;1993;0
3021;West & Central Africa;hib3;1993;0
3022;West & Central Africa;mcv1;1993;42
3023;West & Central Africa;pol3;1993;36
3024;West & Central Africa;rcv1;1993;0
3025;West & Central Africa;bcg;1994;59
3026;West & Central Africa;dtp1;1994;65
3027;West & Central Africa;dtp3;1994;42
3028;West & Central Africa;hepb3;1994;0
3029;West & Central Africa;hib3;1994;0
3030;West & Central Africa;mcv1;1994;44
3031;West & Central Africa;pol3;1994;43
3032;West & Central Africa;rcv1;1994;0
3033;West & Central Africa;bcg;1995;53
3034;West & Central Africa;dtp1;1995;62
3035;West & Central Africa;dtp3;1995;39
3036;West & Central Africa;hepb3;1995;0
3037;West & Central Africa;hib3;1995;0
3038;West & Central Africa;mcv1;1995;45
3039;West & Central Africa;pol3;1995;38
3040;West & Central Africa;rcv1;1995;0
3041;West & Central Africa;bcg;1996;52
3042;West & Central Africa;dtp1;1996;58
3043;West & Central Africa;dtp3;1996;35
3044;West & Central Africa;hepb3;1996;0
3045;West & Central Africa;hib3;1996;0
3046;West & Central Africa;mcv1;1996;41
3047;West & Central Africa;pol3;1996;35
3048;West & Central Africa;rcv1;1996;0
3049;West & Central Africa;bcg;1997;47
3050;West & Central Africa;dtp1;1997;65
3051;West & Central Africa;dtp3;1997;32
3052;West & Central Africa;hepb3;1997;0
3053;West & Central Africa;hib3;1997;0
3054;West & Central Africa;mcv1;1997;41
3055;West & Central Africa;pol3;1997;34
3056;West & Central Africa;rcv1;1997;0
3057;West & Central Africa;yfv;1997;6
3058;West & Central Africa;bcg;1998;54
3059;West & Central Africa;dtp1;1998;56
3060;West & Central Africa;dtp3;1998;37
3061;West & Central Africa;hepb3;1998;0
3062;West & Central Africa;hib3;1998;0
3063;West & Central Africa;mcv1;1998;40
3064;West & Central Africa;pol3;1998;33
3065;West & Central Africa;rcv1;1998;0
3066;West & Central Africa;yfv;1998;9
3067;West & Central Africa;bcg;1999;57
3068;West & Central Africa;dtp1;1999;55
3069;West & Central Africa;dtp3;1999;39
3070;West & Central Africa;hepb3;1999;0
3071;West & Central Africa;hib3;1999;0
3072;West & Central Africa;mcv1;1999;40
3073;West & Central Africa;pol3;1999;38
3074;West & Central Africa;rcv1;1999;0
3075;West & Central Africa;yfv;1999;10
3076;West & Central Africa;bcg;2000;61
3077;West & Central Africa;dtp1;2000;57
3078;West & Central Africa;dtp3;2000;43
3079;West & Central Africa;hepb3;2000;0
3080;West & Central Africa;hepbb;2000;0
3081;West & Central Africa;hib3;2000;0
3082;West & Central Africa;mcv1;2000;45
3083;West & Central Africa;mcv2;2000;0
3084;West & Central Africa;pol3;2000;44
3085;West & Central Africa;rcv1;2000;0
3086;West & Central Africa;yfv;2000;12
3087;West & Central Africa;bcg;2001;58
3088;West & Central Africa;dtp1;2001;57
3089;West & Central Africa;dtp3;2001;40
3090;West & Central Africa;hepb3;2001;1
3091;West & Central Africa;hepbb;2001;0
3092;West & Central Africa;hib3;2001;0
3093;West & Central Africa;mcv1;2001;43
3094;West & Central Africa;mcv2;2001;0
3095;West & Central Africa;pol3;2001;45
3096;West & Central Africa;rcv1;2001;0
3097;West & Central Africa;yfv;2001;13
3098;West & Central Africa;bcg;2002;58
3099;West & Central Africa;dtp1;2002;58
3100;West & Central Africa;dtp3;2002;43
3101;West & Central Africa;hepb3;2002;7
3102;West & Central Africa;hepbb;2002;0
3103;West & Central Africa;hib3;2002;4
3104;West & Central Africa;mcv1;2002;44
3105;West & Central Africa;mcv2;2002;0
3106;West & Central Africa;pol3;2002;50
3107;West & Central Africa;rcv1;2002;0
3108;West & Central Africa;yfv;2002;17
3109;West & Central Africa;bcg;2003;61
3110;West & Central Africa;dtp1;2003;60
3111;West & Central Africa;dtp3;2003;46
3112;West & Central Africa;hepb3;2003;12
3113;West & Central Africa;hepbb;2003;0
3114;West & Central Africa;hib3;2003;4
3115;West & Central Africa;mcv1;2003;49
3116;West & Central Africa;mcv2;2003;0
3117;West & Central Africa;pol3;2003;54
3118;West & Central Africa;rcv1;2003;0
3119;West & Central Africa;yfv;2003;20
3120;West & Central Africa;bcg;2004;64
3121;West & Central Africa;dtp1;2004;63
3122;West & Central Africa;dtp3;2004;51
3123;West & Central Africa;hepb3;2004;14
3124;West & Central Africa;hepbb;2004;0
3125;West & Central Africa;hib3;2004;4
3126;West & Central Africa;mcv1;2004;52
3127;West & Central Africa;mcv2;2004;0
3128;West & Central Africa;pol3;2004;56
3129;West & Central Africa;rcv1;2004;0
3130;West & Central Africa;yfv;2004;37
3131;West & Central Africa;bcg;2005;68
3132;West & Central Africa;dtp1;2005;66
3133;West & Central Africa;dtp3;2005;55
3134;West & Central Africa;hepb3;2005;26
3135;West & Central Africa;hepbb;2005;0
3136;West & Central Africa;hib3;2005;6
3137;West & Central Africa;mcv1;2005;56
3138;West & Central Africa;mcv2;2005;0
3139;West & Central Africa;pol3;2005;60
3140;West & Central Africa;rcv1;2005;0
3141;West & Central Africa;yfv;2005;49
3142;West & Central Africa;bcg;2006;70
3143;West & Central Africa;dtp1;2006;68
3144;West & Central Africa;dtp3;2006;58
3145;West & Central Africa;hepb3;2006;34
3146;West & Central Africa;hepbb;2006;0
3147;West & Central Africa;hib3;2006;12
3148;West & Central Africa;mcv1;2006;58
3149;West & Central Africa;mcv2;2006;0
3150;West & Central Africa;pol3;2006;61
3151;West & Central Africa;rcv1;2006;0
3152;West & Central Africa;rotac;2006;0
3153;West & Central Africa;yfv;2006;54
3154;West & Central Africa;bcg;2007;72
3155;West & Central Africa;dtp1;2007;71
3156;West & Central Africa;dtp3;2007;61
3157;West & Central Africa;hepb3;2007;55
3158;West & Central Africa;hepbb;2007;0
3159;West & Central Africa;hib3;2007;16
3160;West & Central Africa;mcv1;2007;59
3161;West & Central Africa;mcv2;2007;0
3162;West & Central Africa;pol3;2007;66
3163;West & Central Africa;rcv1;2007;0
3164;West & Central Africa;rotac;2007;0
3165;West & Central Africa;yfv;2007;59
3166;West & Central Africa;bcg;2008;77
3167;West & Central Africa;dtp1;2008;74
3168;West & Central Africa;dtp3;2008;65
3169;West & Central Africa;hepb3;2008;55
3170;West & Central Africa;hepbb;2008;0
3171;West & Central Africa;hib3;2008;18
3172;West & Central Africa;mcv1;2008;63
3173;West & Central Africa;mcv2;2008;0
3174;West & Central Africa;pcv3;2008;0
3175;West & Central Africa;pol3;2008;67
3176;West & Central Africa;rcv1;2008;0
3177;West & Central Africa;rotac;2008;0
3178;West & Central Africa;yfv;2008;58
3179;West & Central Africa;bcg;2009;83
3180;West & Central Africa;dtp1;2009;80
3181;West & Central Africa;dtp3;2009;70
3182;West & Central Africa;hepb3;2009;70
3183;West & Central Africa;hepbb;2009;0
3184;West & Central Africa;hib3;2009;45
3185;West & Central Africa;mcv1;2009;69
3186;West & Central Africa;mcv2;2009;0
3187;West & Central Africa;pcv3;2009;0
3188;West & Central Africa;pol3;2009;72
3189;West & Central Africa;rcv1;2009;0
3190;West & Central Africa;rotac;2009;0
3191;West & Central Africa;yfv;2009;68
3192;West & Central Africa;bcg;2010;77
3193;West & Central Africa;dtp1;2010;74
3194;West & Central Africa;dtp3;2010;65
3195;West & Central Africa;hepb3;2010;63
3196;West & Central Africa;hepbb;2010;0
3197;West & Central Africa;hib3;2010;45
3198;West & Central Africa;mcv1;2010;67
3199;West & Central Africa;mcv2;2010;0
3200;West & Central Africa;pcv3;2010;0
3201;West & Central Africa;pol3;2010;68
3202;West & Central Africa;rcv1;2010;0
3203;West & Central Africa;rotac;2010;0
3204;West & Central Africa;yfv;2010;62
3205;West & Central Africa;bcg;2011;70
3206;West & Central Africa;dtp1;2011;74
3207;West & Central Africa;dtp3;2011;64
3208;West & Central Africa;hepb3;2011;63
3209;West & Central Africa;hepbb;2011;0
3210;West & Central Africa;hib3;2011;46
3211;West & Central Africa;mcv1;2011;64
3212;West & Central Africa;mcv2;2011;0
3213;West & Central Africa;pcv3;2011;7
3214;West & Central Africa;pol3;2011;63
3215;West & Central Africa;rcv1;2011;0
3216;West & Central Africa;rotac;2011;0
3217;West & Central Africa;yfv;2011;53
3218;West & Central Africa;bcg;2012;73
3219;West & Central Africa;dtp1;2012;72
3220;West & Central Africa;dtp3;2012;63
3221;West & Central Africa;hepb3;2012;63
3222;West & Central Africa;hepbb;2012;0
3223;West & Central Africa;hib3;2012;51
3224;West & Central Africa;mcv1;2012;62
3225;West & Central Africa;mcv2;2012;3
3226;West & Central Africa;pcv3;2012;14
3227;West & Central Africa;pol3;2012;64
3228;West & Central Africa;rcv1;2012;0
3229;West & Central Africa;rotac;2012;2
3230;West & Central Africa;yfv;2012;52
3231;West & Central Africa;bcg;2013;69
3232;West & Central Africa;dtp1;2013;71
3233;West & Central Africa;dtp3;2013;63
3234;West & Central Africa;hepb3;2013;63
3235;West & Central Africa;hepbb;2013;0
3236;West & Central Africa;hib3;2013;57
3237;West & Central Africa;mcv1;2013;62
3238;West & Central Africa;mcv2;2013;3
3239;West & Central Africa;pcv3;2013;20
3240;West & Central Africa;pol3;2013;63
3241;West & Central Africa;rcv1;2013;7
3242;West & Central Africa;rotac;2013;4
3243;West & Central Africa;yfv;2013;60
3244;West & Central Africa;bcg;2014;70
3245;West & Central Africa;dtp1;2014;71
3246;West & Central Africa;dtp3;2014;64
3247;West & Central Africa;hepb3;2014;64
3248;West & Central Africa;hepbb;2014;0
3249;West & Central Africa;hib3;2014;64
3250;West & Central Africa;mcv1;2014;62
3251;West & Central Africa;mcv2;2014;5
3252;West & Central Africa;pcv3;2014;34
3253;West & Central Africa;pol3;2014;66
3254;West & Central Africa;rcv1;2014;7
3255;West & Central Africa;rotac;2014;14
3256;West & Central Africa;yfv;2014;60
3257;West & Central Africa;bcg;2015;73
3258;West & Central Africa;dtp1;2015;74
3259;West & Central Africa;dtp3;2015;65
3260;West & Central Africa;hepb3;2015;64
3261;West & Central Africa;hepbb;2015;0
3262;West & Central Africa;hib3;2015;64
3263;West & Central Africa;ipv1;2015;32
3264;West & Central Africa;mcv1;2015;63
3265;West & Central Africa;mcv2;2015;9
3266;West & Central Africa;pcv3;2015;55
3267;West & Central Africa;pol3;2015;63
3268;West & Central Africa;rcv1;2015;9
3269;West & Central Africa;rotac;2015;21
3270;West & Central Africa;yfv;2015;58
3271;West & Central Africa;bcg;2016;74
3272;West & Central Africa;dtp1;2016;79
3273;West & Central Africa;dtp3;2016;70
3274;West & Central Africa;hepb3;2016;70
3275;West & Central Africa;hepbb;2016;2
3276;West & Central Africa;hib3;2016;70
3277;West & Central Africa;ipv1;2016;50
3278;West & Central Africa;mcv1;2016;71
3279;West & Central Africa;mcv2;2016;11
3280;West & Central Africa;pcv3;2016;66
3281;West & Central Africa;pol3;2016;69
3282;West & Central Africa;rcv1;2016;10
3283;West & Central Africa;rotac;2016;25
3284;West & Central Africa;yfv;2016;66
3285;West & Central Africa;bcg;2017;73
3286;West & Central Africa;dtp1;2017;80
3287;West & Central Africa;dtp3;2017;71
3288;West & Central Africa;hepb3;2017;71
3289;West & Central Africa;hepbb;2017;2
3290;West & Central Africa;hib3;2017;71
3291;West & Central Africa;ipv1;2017;49
3292;West & Central Africa;mcv1;2017;72
3293;West & Central Africa;mcv2;2017;12
3294;West & Central Africa;pcv3;2017;68
3295;West & Central Africa;pol3;2017;70
3296;West & Central Africa;rcv1;2017;14
3297;West & Central Africa;rotac;2017;28
3298;West & Central Africa;yfv;2017;68
3299;West & Central Africa;bcg;2018;73
3300;West & Central Africa;dtp1;2018;79
3301;West & Central Africa;dtp3;2018;70
3302;West & Central Africa;hepb3;2018;70
3303;West & Central Africa;hepbb;2018;2
3304;West & Central Africa;hib3;2018;70
3305;West & Central Africa;ipv1;2018;63
3306;West & Central Africa;mcv1;2018;71
3307;West & Central Africa;mcv2;2018;12
3308;West & Central Africa;pcv3;2018;67
3309;West & Central Africa;pol3;2018;70
3310;West & Central Africa;rcv1;2018;19
3311;West & Central Africa;rotac;2018;28
3312;West & Central Africa;yfv;2018;71
3313;Western Europe;bcg;1980;57
3314;Western Europe;dtp1;1980;53
3315;Western Europe;dtp3;1980;46
3316;Western Europe;mcv1;1980;31
3317;Western Europe;pol3;1980;62
3318;Western Europe;rcv1;1980;10
3319;Western Europe;bcg;1981;61
3320;Western Europe;dtp1;1981;69
3321;Western Europe;dtp3;1981;62
3322;Western Europe;mcv1;1981;38
3323;Western Europe;pol3;1981;65
3324;Western Europe;rcv1;1981;12
3325;Western Europe;bcg;1982;61
3326;Western Europe;dtp1;1982;71
3327;Western Europe;dtp3;1982;64
3328;Western Europe;mcv1;1982;41
3329;Western Europe;pol3;1982;67
3330;Western Europe;rcv1;1982;16
3331;Western Europe;bcg;1983;63
3332;Western Europe;dtp1;1983;72
3333;Western Europe;dtp3;1983;66
3334;Western Europe;mcv1;1983;46
3335;Western Europe;pol3;1983;80
3336;Western Europe;rcv1;1983;21
3337;Western Europe;bcg;1984;67
3338;Western Europe;dtp1;1984;82
3339;Western Europe;dtp3;1984;76
3340;Western Europe;mcv1;1984;53
3341;Western Europe;pol3;1984;88
3342;Western Europe;rcv1;1984;27
3343;Western Europe;bcg;1985;65
3344;Western Europe;dtp1;1985;81
3345;Western Europe;dtp3;1985;73
3346;Western Europe;hepb3;1985;0
3347;Western Europe;mcv1;1985;57
3348;Western Europe;pol3;1985;88
3349;Western Europe;rcv1;1985;34
3350;Western Europe;bcg;1986;65
3351;Western Europe;dtp1;1986;84
3352;Western Europe;dtp3;1986;78
3353;Western Europe;hepb3;1986;0
3354;Western Europe;mcv1;1986;63
3355;Western Europe;pol3;1986;91
3356;Western Europe;rcv1;1986;37
3357;Western Europe;bcg;1987;63
3358;Western Europe;dtp1;1987;84
3359;Western Europe;dtp3;1987;75
3360;Western Europe;hepb3;1987;0
3361;Western Europe;mcv1;1987;67
3362;Western Europe;pol3;1987;88
3363;Western Europe;rcv1;1987;39
3364;Western Europe;bcg;1988;64
3365;Western Europe;dtp1;1988;84
3366;Western Europe;dtp3;1988;75
3367;Western Europe;hepb3;1988;0
3368;Western Europe;mcv1;1988;69
3369;Western Europe;pol3;1988;88
3370;Western Europe;rcv1;1988;53
3371;Western Europe;bcg;1989;63
3372;Western Europe;dtp1;1989;85
3373;Western Europe;dtp3;1989;78
3374;Western Europe;hepb3;1989;0
3375;Western Europe;mcv1;1989;72
3376;Western Europe;pol3;1989;88
3377;Western Europe;rcv1;1989;58
3378;Western Europe;bcg;1990;63
3379;Western Europe;dtp1;1990;95
3380;Western Europe;dtp3;1990;87
3381;Western Europe;hepb3;1990;0
3382;Western Europe;hib3;1990;0
3383;Western Europe;mcv1;1990;80
3384;Western Europe;pol3;1990;92
3385;Western Europe;rcv1;1990;66
3386;Western Europe;bcg;1991;63
3387;Western Europe;dtp1;1991;96
3388;Western Europe;dtp3;1991;90
3389;Western Europe;hepb3;1991;11
3390;Western Europe;hib3;1991;11
3391;Western Europe;mcv1;1991;80
3392;Western Europe;pol3;1991;92
3393;Western Europe;rcv1;1991;78
3394;Western Europe;bcg;1992;63
3395;Western Europe;dtp1;1992;96
3396;Western Europe;dtp3;1992;91
3397;Western Europe;hepb3;1992;11
3398;Western Europe;hib3;1992;15
3399;Western Europe;mcv1;1992;81
3400;Western Europe;pol3;1992;92
3401;Western Europe;rcv1;1992;79
3402;Western Europe;bcg;1993;64
3403;Western Europe;dtp1;1993;94
3404;Western Europe;dtp3;1993;87
3405;Western Europe;hepb3;1993;12
3406;Western Europe;hib3;1993;30
3407;Western Europe;mcv1;1993;83
3408;Western Europe;pol3;1993;93
3409;Western Europe;rcv1;1993;81
3410;Western Europe;bcg;1994;66
3411;Western Europe;dtp1;1994;96
3412;Western Europe;dtp3;1994;91
3413;Western Europe;hepb3;1994;15
3414;Western Europe;hib3;1994;31
3415;Western Europe;mcv1;1994;84
3416;Western Europe;pol3;1994;95
3417;Western Europe;rcv1;1994;83
3418;Western Europe;bcg;1995;87
3419;Western Europe;dtp1;1995;97
3420;Western Europe;dtp3;1995;92
3421;Western Europe;hepb3;1995;20
3422;Western Europe;hib3;1995;32
3423;Western Europe;mcv1;1995;85
3424;Western Europe;pol3;1995;95
3425;Western Europe;rcv1;1995;85
3426;Western Europe;bcg;1996;86
3427;Western Europe;dtp1;1996;97
3428;Western Europe;dtp3;1996;93
3429;Western Europe;hepb3;1996;31
3430;Western Europe;hib3;1996;34
3431;Western Europe;mcv1;1996;87
3432;Western Europe;pol3;1996;96
3433;Western Europe;rcv1;1996;87
3434;Western Europe;bcg;1997;86
3435;Western Europe;dtp1;1997;97
3436;Western Europe;dtp3;1997;93
3437;Western Europe;hepb3;1997;38
3438;Western Europe;hib3;1997;39
3439;Western Europe;mcv1;1997;87
3440;Western Europe;pol3;1997;95
3441;Western Europe;rcv1;1997;87
3442;Western Europe;bcg;1998;85
3443;Western Europe;dtp1;1998;97
3444;Western Europe;dtp3;1998;93
3445;Western Europe;hepb3;1998;46
3446;Western Europe;hib3;1998;62
3447;Western Europe;mcv1;1998;86
3448;Western Europe;pol3;1998;95
3449;Western Europe;rcv1;1998;86
3450;Western Europe;bcg;1999;86
3451;Western Europe;dtp1;1999;98
3452;Western Europe;dtp3;1999;95
3453;Western Europe;hepb3;1999;47
3454;Western Europe;hib3;1999;68
3455;Western Europe;mcv1;1999;88
3456;Western Europe;pol3;1999;95
3457;Western Europe;rcv1;1999;88
3458;Western Europe;bcg;2000;86
3459;Western Europe;dtp1;2000;97
3460;Western Europe;dtp3;2000;93
3461;Western Europe;hepb3;2000;49
3462;Western Europe;hepbb;2000;10
3463;Western Europe;hib3;2000;76
3464;Western Europe;mcv1;2000;88
3465;Western Europe;mcv2;2000;31
3466;Western Europe;pol3;2000;95
3467;Western Europe;rcv1;2000;88
3468;Western Europe;bcg;2001;86
3469;Western Europe;dtp1;2001;98
3470;Western Europe;dtp3;2001;95
3471;Western Europe;hepb3;2001;50
3472;Western Europe;hepbb;2001;10
3473;Western Europe;hib3;2001;79
3474;Western Europe;mcv1;2001;89
3475;Western Europe;mcv2;2001;34
3476;Western Europe;pol3;2001;95
3477;Western Europe;rcv1;2001;89
3478;Western Europe;bcg;2002;86
3479;Western Europe;dtp1;2002;98
3480;Western Europe;dtp3;2002;95
3481;Western Europe;hepb3;2002;53
3482;Western Europe;hepbb;2002;10
3483;Western Europe;hib3;2002;83
3484;Western Europe;mcv1;2002;90
3485;Western Europe;mcv2;2002;49
3486;Western Europe;pol3;2002;96
3487;Western Europe;rcv1;2002;90
3488;Western Europe;bcg;2003;85
3489;Western Europe;dtp1;2003;98
3490;Western Europe;dtp3;2003;96
3491;Western Europe;hepb3;2003;54
3492;Western Europe;hepbb;2003;10
3493;Western Europe;hib3;2003;84
3494;Western Europe;mcv1;2003;90
3495;Western Europe;mcv2;2003;50
3496;Western Europe;pol3;2003;96
3497;Western Europe;rcv1;2003;90
3498;Western Europe;bcg;2004;84
3499;Western Europe;dtp1;2004;98
3500;Western Europe;dtp3;2004;96
3501;Western Europe;hepb3;2004;57
3502;Western Europe;hepbb;2004;10
3503;Western Europe;hib3;2004;87
3504;Western Europe;mcv1;2004;91
3505;Western Europe;mcv2;2004;58
3506;Western Europe;pol3;2004;96
3507;Western Europe;rcv1;2004;91
3508;Western Europe;bcg;2005;83
3509;Western Europe;dtp1;2005;98
3510;Western Europe;dtp3;2005;95
3511;Western Europe;hepb3;2005;57
3512;Western Europe;hepbb;2005;10
3513;Western Europe;hib3;2005;88
3514;Western Europe;mcv1;2005;91
3515;Western Europe;mcv2;2005;58
3516;Western Europe;pol3;2005;96
3517;Western Europe;rcv1;2005;91
3518;Western Europe;bcg;2006;84
3519;Western Europe;dtp1;2006;98
3520;Western Europe;dtp3;2006;96
3521;Western Europe;hepb3;2006;58
3522;Western Europe;hepbb;2006;10
3523;Western Europe;hib3;2006;90
3524;Western Europe;mcv1;2006;92
3525;Western Europe;mcv2;2006;61
3526;Western Europe;pol3;2006;96
3527;Western Europe;rcv1;2006;92
3528;Western Europe;rotac;2006;0
3529;Western Europe;bcg;2007;81
3530;Western Europe;dtp1;2007;98
3531;Western Europe;dtp3;2007;96
3532;Western Europe;hepb3;2007;58
3533;Western Europe;hepbb;2007;10
3534;Western Europe;hib3;2007;94
3535;Western Europe;mcv1;2007;93
3536;Western Europe;mcv2;2007;62
3537;Western Europe;pol3;2007;96
3538;Western Europe;rcv1;2007;93
3539;Western Europe;rotac;2007;0
3540;Western Europe;bcg;2008;84
3541;Western Europe;dtp1;2008;98
3542;Western Europe;dtp3;2008;96
3543;Western Europe;hepb3;2008;59
3544;Western Europe;hepbb;2008;10
3545;Western Europe;hib3;2008;95
3546;Western Europe;mcv1;2008;93
3547;Western Europe;mcv2;2008;62
3548;Western Europe;pcv3;2008;18
3549;Western Europe;pol3;2008;96
3550;Western Europe;rcv1;2008;93
3551;Western Europe;rotac;2008;1
3552;Western Europe;bcg;2009;83
3553;Western Europe;dtp1;2009;98
3554;Western Europe;dtp3;2009;96
3555;Western Europe;hepb3;2009;59
3556;Western Europe;hepbb;2009;10
3557;Western Europe;hib3;2009;95
3558;Western Europe;mcv1;2009;93
3559;Western Europe;mcv2;2009;62
3560;Western Europe;pcv3;2009;27
3561;Western Europe;pol3;2009;96
3562;Western Europe;rcv1;2009;93
3563;Western Europe;rotac;2009;1
3564;Western Europe;bcg;2010;81
3565;Western Europe;dtp1;2010;98
3566;Western Europe;dtp3;2010;97
3567;Western Europe;hepb3;2010;62
3568;Western Europe;hepbb;2010;10
3569;Western Europe;hib3;2010;95
3570;Western Europe;mcv1;2010;93
3571;Western Europe;mcv2;2010;73
3572;Western Europe;pcv3;2010;58
3573;Western Europe;pol3;2010;96
3574;Western Europe;rcv1;2010;93
3575;Western Europe;rotac;2010;2
3576;Western Europe;bcg;2011;82
3577;Western Europe;dtp1;2011;98
3578;Western Europe;dtp3;2011;97
3579;Western Europe;hepb3;2011;65
3580;Western Europe;hepbb;2011;10
3581;Western Europe;hib3;2011;96
3582;Western Europe;mcv1;2011;93
3583;Western Europe;mcv2;2011;74
3584;Western Europe;pcv3;2011;62
3585;Western Europe;pol3;2011;96
3586;Western Europe;rcv1;2011;93
3587;Western Europe;rotac;2011;2
3588;Western Europe;bcg;2012;82
3589;Western Europe;dtp1;2012;99
3590;Western Europe;dtp3;2012;97
3591;Western Europe;hepb3;2012;66
3592;Western Europe;hepbb;2012;9
3593;Western Europe;hib3;2012;96
3594;Western Europe;mcv1;2012;94
3595;Western Europe;mcv2;2012;76
3596;Western Europe;pcv3;2012;66
3597;Western Europe;pol3;2012;96
3598;Western Europe;rcv1;2012;94
3599;Western Europe;rotac;2012;4
3600;Western Europe;bcg;2013;78
3601;Western Europe;dtp1;2013;98
3602;Western Europe;dtp3;2013;96
3603;Western Europe;hepb3;2013;67
3604;Western Europe;hepbb;2013;9
3605;Western Europe;hib3;2013;96
3606;Western Europe;mcv1;2013;94
3607;Western Europe;mcv2;2013;85
3608;Western Europe;pcv3;2013;67
3609;Western Europe;pol3;2013;96
3610;Western Europe;rcv1;2013;94
3611;Western Europe;rotac;2013;4
3612;Western Europe;bcg;2014;77
3613;Western Europe;dtp1;2014;98
3614;Western Europe;dtp3;2014;96
3615;Western Europe;hepb3;2014;69
3616;Western Europe;hepbb;2014;9
3617;Western Europe;hib3;2014;96
3618;Western Europe;mcv1;2014;94
3619;Western Europe;mcv2;2014;86
3620;Western Europe;pcv3;2014;68
3621;Western Europe;pol3;2014;96
3622;Western Europe;rcv1;2014;94
3623;Western Europe;rotac;2014;14
3624;Western Europe;bcg;2015;71
3625;Western Europe;dtp1;2015;98
3626;Western Europe;dtp3;2015;96
3627;Western Europe;hepb3;2015;70
3628;Western Europe;hepbb;2015;9
3629;Western Europe;hib3;2015;95
3630;Western Europe;mcv1;2015;94
3631;Western Europe;mcv2;2015;86
3632;Western Europe;pcv3;2015;69
3633;Western Europe;pol3;2015;95
3634;Western Europe;rcv1;2015;94
3635;Western Europe;rotac;2015;30
3636;Western Europe;bcg;2016;71
3637;Western Europe;dtp1;2016;98
3638;Western Europe;dtp3;2016;95
3639;Western Europe;hepb3;2016;70
3640;Western Europe;hepbb;2016;9
3641;Western Europe;hib3;2016;95
3642;Western Europe;mcv1;2016;94
3643;Western Europe;mcv2;2016;87
3644;Western Europe;pcv3;2016;71
3645;Western Europe;pol3;2016;95
3646;Western Europe;rcv1;2016;94
3647;Western Europe;rotac;2016;30
3648;Western Europe;bcg;2017;68
3649;Western Europe;dtp1;2017;98
3650;Western Europe;dtp3;2017;95
3651;Western Europe;hepb3;2017;70
3652;Western Europe;hepbb;2017;9
3653;Western Europe;hib3;2017;94
3654;Western Europe;mcv1;2017;94
3655;Western Europe;mcv2;2017;88
3656;Western Europe;pcv3;2017;80
3657;Western Europe;pol3;2017;94
3658;Western Europe;rcv1;2017;94
3659;Western Europe;rotac;2017;33
3660;Western Europe;bcg;2018;69
3661;Western Europe;dtp1;2018;98
3662;Western Europe;dtp3;2018;95
3663;Western Europe;hepb3;2018;71
3664;Western Europe;hepbb;2018;9
3665;Western Europe;hib3;2018;94
3666;Western Europe;mcv1;2018;94
3667;Western Europe;mcv2;2018;88
3668;Western Europe;pcv3;2018;84
3669;Western Europe;pol3;2018;94
3670;Western Europe;rcv1;2018;94
3671;Western Europe;rotac;2018;35
